Batting records,Batting records,Batting records
Most runs,Virat Kohli (RCB),"8,661"
Most fours,Virat Kohli (RCB),771
Most sixes,Chris Gayle (KKR/PBKS/RCB),357
Most centuries,Virat Kohli (RCB),8
Most half-centuries,Virat Kohli (RCB),63
Most runs in a season,Virat Kohli (RCB),973 (2016)
Best strike rate,Phil Salt (DC/KKR/RCB),175.71
Highest score,Chris Gayle (RCB),175* vs Pune Warriors India(23 April 2013)
Highest partnership,Virat Kohli and AB de Villiers (RCB),229 vs Gujarat Lions(14 May 2016)
Bowling records,Bowling records,Bowling records
Most wickets,Yuzvendra Chahal (PBKS/MI/RCB/RR),221
Best bowling figures,Alzarri Joseph (MI),6/12 vs Sunrisers Hyderabad(6 April 2019)
Most wickets in a season,Harshal Patel (RCB),32 (2021)
Most wickets in a season,Dwayne Bravo (CSK),32 (2013)
Fielding records,Fielding records,Fielding records
Most dismissals as a wicket-keeper,MS Dhoni (CSK/RPS),201
Most catches as a fielder,Virat Kohli (RCB)[114],117
Team records,Team records,Team records
Highest total,Sunrisers Hyderabad,287/3 (20) vs Royal Challengers Bengaluru(15 April 2024)
Lowest total,Royal Challengers Bangalore,49 (9.4) vs Kolkata Knight Riders(23 April 2017)
